Titolo,Artista,Settimana,Streaming,Radio_Tv,Download,Percentuale
Dea saffica,Gaia,2024-05-11,0,100,0,17.1
Non ho bisogno di te,Noemi,2024-05-11,5,93,2,16.53
Miez a via,Baby Gang feat. Geolier,2024-05-11,100,0,0,16.48
Solo un'ora,Capo Plaza,2024-05-11,100,0,0,16.45
Tutto qui,Gazzelle,2024-05-11,99,1,0,16.43
Diamanti grezzi,Clara,2024-05-11,100,0,0,15.98
Bon ton,Drillionaire & Lazza & Blanco feat. Sfera Ebbasta & Michelangelo,2024-05-11,100,0,0,15.9
Discoteche abbandonate,Max Pezzali,2024-05-11,4,94,3,15.82
Due altalene,Mr. Rain,2024-05-11,79,21,0,15.34
Onda alta,Dargen D'Amico,2024-05-11,84,16,0,15.27
Paradiso,La Rappresentante Di Lista,2024-05-11,9,91,0,15.25
Icon,Tony Effe,2024-05-11,100,0,0,14.85
All night long,Kungs & David Guetta feat. Izzy Bizu,2024-05-11,0,100,0,14.82
Vieni dalla Baddie (Interlude),Anna,2024-05-11,100,0,0,14.7
Fogliemorte,Neffa feat. Fabri Fibra,2024-05-11,10,87,2,14.05
Buscando money,Twenty Six & Tayson Kryss,2024-05-11,48,52,0,13.97
Pillole,"Tony Effe &, Sfera Ebbasta & Geolier",2024-05-11,100,0,0,13.62
Ho fatto un sogno,Tananai & Madame & Rose Villain,2024-05-11,95,0,5,13.17
Italodisco,Kolors,2024-05-11,98,0,2,13.02
Sarò con te,SLF & Geolier feat. Lele Blade & Mv Killa & Vale Lambo & Yung,2024-05-11,98,0,2,12.97
Puntofermo,Tiromancino,2024-05-11,0,100,0,12.93
Lovers in a past life,Calvin Harris & Rag'N'Bone Man,2024-05-11,0,100,0,12.7
Personale,Mahmood & Geolier,2024-05-11,100,0,0,12.56
Everyday,Takagi e Ketra feat. Shiva & Anna & Geolier,2024-05-11,100,0,0,12.48
Human,Lenny Kravitz,2024-05-11,0,100,0,12.43
Honey boy,Purple Disco Machine & Benjamin Ingrosso feat. Nile Rodgers & Shenseea,2024-05-11,44,50,5,12.28
Vetri neri,Ava & Anna & Capo Plaza,2024-05-11,100,0,0,12.27
Tango,Tananai,2024-05-11,98,0,2,12.27
Nato per questo,Capo Plaza,2024-05-11,100,0,0,12.26
Addicted,Zerb & Chainsmokers feat. Ink,2024-05-11,0,95,5,12.18
Rossofuoco,Mida,2024-05-11,100,0,0,12.14
Too sweet,Hozier,2024-05-11,64,34,3,12.02
Beat of your heart,Purple Disco Machine & Asdis,2024-05-11,0,96,4,11.62
Que pasa,Mida,2024-05-11,96,0,4,11.38
Espresso,Sabrina Carpenter,2024-05-11,70,30,0,11.31
Santa,Rvssian & Rauw Alejandro & Ayra Starr,2024-05-11,100,0,0,11.11
Pedro,Jaxomy & Agatino Romero & Raffaella Carrà,2024-05-11,83,9,8,11.07
Fino a qui,Alessandra Amoroso,2024-05-11,54,44,2,10.95
Lilith,Kid Yugi,2024-05-11,100,0,0,10.81
Assistente sociale,Baby Gang & Higashi feat. Simba La Rue,2024-05-11,100,0,0,10.6
Calcolatrici,Sfera Ebbasta feat. Geolier & Simba La Rue & Baby Gang,2024-05-11,100,0,0,10.41
Kite,Benjamin Ingrosso,2024-05-11,0,100,0,10.09
In Italia 2024,Fabri Fibra feat. Emma & Baby Gang,2024-05-11,100,0,0,10.03
Love on,Selena Gomez,2024-05-11,0,100,0,9.94
Mariposa,Fiorella Mannoia,2024-05-11,49,46,5,9.73
King of the jungle,Club Dogo,2024-05-11,0,97,3,9.54
15 Piani,Sfera Ebbasta feat. Marracash,2024-05-11,100,0,0,9.34
I don't wanna wait,David Guetta & Onerepublic,2024-05-11,41,56,3,9.25
Tutta un'altra storia,Boomdabash,2024-05-11,0,100,0,9.08
Bellissimissima,Alfa,2024-05-11,97,0,3,8.98
No angels,Justin Timberlake,2024-05-11,0,100,0,8.97
Che t'o dico a fa',Angelina Mango,2024-05-11,100,0,0,8.91
Millionaire,Baby Gang & Bobo feat. Guè,2024-05-11,100,0,0,8.72
Mwaki,Zerb & Sofiya Nzau,2024-05-11,69,27,5,8.57
Ci pensiamo domani,Angelina Mango,2024-05-11,100,0,0,8.56
Mediterraneo,Ermal Meta,2024-05-11,7,90,3,8.37
Honey,Tony Effe & Lazza & Capo Plaza,2024-05-11,100,0,0,8.37
Fragili,Il Tre,2024-05-11,100,0,0,8.36
Ancora,Rhove,2024-05-11,100,0,0,8.27
Gangster,Baby Gang feat. Paky,2024-05-11,100,0,0,8.25
Bloods & crips,Baby Gang & Higashi,2024-05-11,100,0,0,8.14
Gli altri (Giorni stupidi),Marracash,2024-05-11,100,0,0,8.13
Tutto fuori controllo,Mace  Kid Yugi & Izi & Franco126,2024-05-11,100,0,0,8.11
Moneylove,Massimo Pericolo feat. Emis Killa,2024-05-11,100,0,0,8.08
Tornerai,Petit,2024-05-11,89,7,3,8.0
Petit fou fou,Rhove & Anna,2024-05-11,100,0,0,7.95
Chiagne,Geolier feat. Lazza & Takagi & Ketra,2024-05-11,100,0,0,7.83
Il male che mi fai,Geolier feat. Marracash,2024-05-11,100,0,0,7.8
Giovani Wannabe,Pinguini Tattici Nucleari,2024-05-11,100,0,0,7.63
No ex,Niky Savage & Blssd feat. Paky,2024-05-11,100,0,0,7.6
Come vuoi,Geolier,2024-05-11,100,0,0,7.58
Not like us,Kendrick Lamar,2024-05-11,100,0,0,7.57
Plata o Plomo,Kalionte & Frezza,2024-05-11,100,0,0,7.53
Rubami la notte,Pinguini Tattici Nucleari,2024-05-11,100,0,0,7.45
Praise the lord,Mace & Tony Boy & Guè & Noyz Narcos,2024-05-11,97,3,0,7.44
Leanin',Tony Boy,2024-05-11,100,0,0,7.4
"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,2024-05-11,97,0,3,7.38
Guerra,Baby Gang & Higashi,2024-05-11,100,0,0,7.33
Maliciosa,Elmatadormc7,2024-05-11,100,0,0,7.33
Paradiso artificiale,Tedua feat. Baby Gang & Kid Yugi,2024-05-11,100,0,0,7.3
Carrara,Tony Effe & Simba La Rue,2024-05-11,100,0,0,7.28
Shadows of the night [gigi dag mix],Gigi D'Agostino & Boostedkids,2024-05-11,0,92,8,7.27
M' manc,Shablo & Geolier & Sfera Ebbasta,2024-05-11,100,0,0,7.2
Taxi sulla luna,Tony Effe & Emma & Takagi e Ketra,2024-05-11,100,0,0,7.07
Standing next to you,Jung Kook,2024-05-11,0,96,4,6.97
Sexy magica,Sarah Toscano,2024-05-11,93,0,7,6.95
Io voglio te,Gianna Nannini,2024-05-11,0,100,0,6.88
Baby mama,Don Pero,2024-05-11,100,0,0,6.81
Huracan,Baby Gang feat. Gemitaiz & Madman,2024-05-11,100,0,0,6.75
Fantasmi,Rose Villain feat. Geolier,2024-05-11,100,0,0,6.74
Euphoria,Kendrick Lamar,2024-05-11,100,0,0,6.71
Lasciati pensare,Biagio Antonacci,2024-05-11,0,100,0,6.68
Mon amour,Annalisa,2024-05-11,96,0,4,6.67
Due vite,Marco Mengoni,2024-05-11,96,0,4,6.66
End of beginning,Djo,2024-05-11,95,5,0,6.63
Nightmares,Bresh & Pinguini Tattici Nucleari,2024-05-11,100,0,0,6.61
Ex angelo,Kid Yugi & Sfera Ebbasta & Shablo,2024-05-11,100,0,0,6.43
La musica non c'è,Coez,2024-05-11,100,0,0,6.42
Belong together,Mark Ambor,2024-05-11,98,2,0,6.23
Ridere,Pinguini Tattici Nucleari,2024-05-11,100,0,0,6.22
Denaro,Kid Yugi & Simba La Rue,2024-05-11,100,0,0,6.15
Cadillac,Boro & Artie 5Ive & Andry The Hitmaker,2024-05-11,100,0,0,6.07
Moon,Ava feat. Capo Plaza & Tony Boy,2024-05-11,100,0,0,6.06
Hoe,Tedua feat. Sfera Ebbasta,2024-05-11,100,0,0,6.01
Cento occhi,Bigmama,2024-05-11,0,100,0,5.96
Nu dispietto,Gigi D'Alessio,2024-05-11,0,100,0,5.94
Guasto d'amore,Bresh & Shune,2024-05-11,100,0,0,5.92
Gelosa,Finesse feat. Shiva & Sfera Ebbasta & Guè Pequeno,2024-05-11,100,0,0,5.83
Fragole,Achille Lauro & Rose Villain,2024-05-11,100,0,0,5.82
Capolavoro,Il Volo,2024-05-11,94,0,6,5.8
Sintetico,Kid Yugi & Night Skinny & Tony Boy,2024-05-11,100,0,0,5.79
Disco Paradise,Fedez & Annalisa & Articolo 31,2024-05-11,100,0,0,5.78
Non mi vedi,Baby Gang & Higashi feat. Fabri Fibra & Ernia & Rkomi & Geolier,2024-05-11,100,0,0,5.57
Anelli e collane,Artie 5Ive feat. Anna,2024-05-11,100,0,0,5.56
Brivido,Guè Pequeno feat. Marracash,2024-05-11,100,0,0,5.53
Insta lova,Marracash & Guè Pequeno,2024-05-11,100,0,0,5.49
Controtempo,Calcutta,2024-05-11,0,100,0,5.3
2minuti,Calcutta,2024-05-11,100,0,0,5.3
Ruggine,Mace feat. Chiello & Coez,2024-05-11,42,58,0,5.26
Ti muovi,Diodato,2024-05-11,11,82,7,5.24
Governo Punk,Bnkr44,2024-05-11,100,0,0,5.21
Molotov,Lazza,2024-05-11,100,0,0,5.12
Un briciolo di allegria,Blanco & Mina,2024-05-11,100,0,0,5.11
Si no estas,Inigo Quintero,2024-05-11,100,0,0,5.06
Destri,Gazzelle,2024-05-11,100,0,0,5.01
Agente,Baby Gang feat. Emis Killa & Jake La Furia,2024-05-11,100,0,0,5.0
Panico,Lazza & Takagi & Ketra,2024-05-11,100,0,0,4.97
Nato per questo,Club Dogo & Marracash,2024-05-11,100,0,0,4.95
Houdini,Dua Lipa,2024-05-11,100,0,0,4.95
Supereroi,Mr. Rain,2024-05-11,100,0,0,4.88
The sound of silence [cyril remix],Disturbed,2024-05-11,30,40,31,4.83
Lovebars,Coez & Frah Quintale,2024-05-11,0,100,0,4.81
Responsabile,Papa V & Fritu feat. Nerissima Serpe,2024-05-11,100,0,0,4.8
Come un tuono,Rose Villain feat. Guè,2024-05-18,71,27,2,100.0
L'ultima poesia,Geolier & Ultimo,2024-05-18,78,18,3,86.3
100 messaggi,Lazza,2024-05-18,73,25,2,84.77
Altrove,Ultimo,2024-05-18,66,26,8,57.03
Tuta gold,Mahmood,2024-05-18,82,17,1,55.92
Paprika,Ghali,2024-05-18,74,25,2,55.83
Sinceramente,Annalisa,2024-05-18,81,16,3,54.13
Gata only,Floyymenor & Cris Mj,2024-05-18,97,2,0,51.64
La noia,Angelina Mango,2024-05-18,85,14,1,51.06
Veleno,Tananai,2024-05-18,42,58,1,49.96
El pibe de oro,Geolier,2024-05-18,100,0,0,46.73
BBE,ANNA feat. Lazza,2024-05-18,100,0,0,46.25
Miu Miu,Tony Effe,2024-05-18,99,0,0,45.31
"I p' me, tu p' te",Geolier,2024-05-18,95,4,1,42.99
Ma che idea,Bnkr44 & Pino D'Angiò,2024-05-18,54,45,1,42.68
Soldi arrotolati,Capo Plaza feat. Anna,2024-05-18,99,0,1,39.92
Casa mia,Ghali,2024-05-18,83,15,1,38.38
Alè,Rhove & Capo Plaza,2024-05-18,43,57,0,37.84
Peyote,Articolo 31 feat. Fabri Fibra & Rocco Hunt,2024-05-18,39,60,1,37.77
Ancora qua,Capo Plaza feat. Tedua,2024-05-18,100,0,0,36.21
Click boom!,Rose Villain,2024-05-18,96,2,1,36.02
I like the way you kiss me,Artemas,2024-05-18,66,31,3,35.21
Dopo le 4,"Tony Effe, Bresh & Tedua",2024-05-18,99,1,0,34.76
Beautiful things,Benson Boone,2024-05-18,69,26,4,34.21
Istinto animale,Don Joe feat. Annalisa & Ernia & Guè,2024-05-18,65,34,2,33.94
Luna piena,Negramaro,2024-05-18,3,96,1,33.68
Adrenalina,Baby Gang feat. Blanco & Marracash,2024-05-18,75,24,1,32.47
Devastante,Olly & Jvli,2024-05-18,98,1,1,31.01
Money rain,Capo Plaza feat. Lazza,2024-05-18,100,0,0,30.5
Malavita,Coma_Cose,2024-05-18,10,89,2,30.21
Frutta malinconia,Francesco Gabbani,2024-05-18,17,82,1,28.96
Puntería,Shakira & Cardi B,2024-05-18,0,99,1,28.93
Apnea,Emma,2024-05-18,79,20,1,28.38
Torcida,Bresh,2024-05-18,100,0,0,28.16
Texas hold 'em,Beyoncè,2024-05-18,12,87,1,27.73
Vai!,Alfa,2024-05-18,80,19,1,27.59
"Un ragazzo, una ragazza",Kolors,2024-05-18,86,12,1,27.5
Ma non tutta la vita,Ricchi e Poveri,2024-05-18,77,21,1,26.56
Sola,Baby Gang & Higashi feat. Lazza & Tedua,2024-05-18,100,0,0,26.15
Karma,Kolors,2024-05-18,31,66,3,25.94
00,Artie 5ive,2024-05-18,99,1,0,25.87
Lonely dancers,Conan Gray,2024-05-18,0,98,2,25.31
Addo staje [ride it napoletan remix],Le-One feat. VTR,2024-05-18,99,1,0,24.73
Acqua passata,Capo Plaza,2024-05-18,99,1,0,24.18
Training season,Dua Lipa,2024-05-18,41,58,1,22.58
Tu no,Irama,2024-05-18,87,12,1,22.14
Sottovuoto,Capo Plaza,2024-05-18,100,0,0,22.13
Electric,Darin,2024-05-18,0,98,2,21.66
Non ho bisogno di te,Noemi,2024-05-18,0,100,0,20.7
Madame,Baby Gang & Higashi feat. Sfera Ebbasta,2024-05-18,100,0,0,20.62
Ferite,Capo Plaza,2024-05-18,100,0,0,20.53
Eyes closed,Imagine Dragons,2024-05-18,0,100,0,20.02
Anche stasera,Sfera Ebbasta feat. Elodie,2024-05-18,100,0,0,19.62
Eva,Kid Yugi & Tedua & Junior K,2024-05-18,100,0,0,19.35
Louder,Dotan,2024-05-18,0,100,0,19.09
Femme fatale,Emma,2024-05-18,27,69,3,19.06
Dea saffica,Gaia,2024-05-18,0,100,0,18.98
Lucia (Stay with me),Liberato,2024-05-18,98,0,2,18.87
Musica italiana,Rocco Hunt,2024-05-18,24,76,0,18.46
Fortnight,Taylor Swift feat. Post Malone,2024-05-18,50,48,3,18.45
Doctor (work it out),Pharrell Williams & Miley Cyrus,2024-05-18,0,100,0,18.44
I can fly,Icy Subzero,2024-05-18,99,1,0,17.49
Vieni dalla Baddie (Interlude),Anna,2024-05-18,100,0,0,17.38
Cenere,Lazza,2024-05-18,100,0,0,17.25
Lose control,Teddy Swims,2024-05-18,69,27,4,17.12
Sarò con te,SLF & Geolier feat. Lele Blade & Mv Killa & Vale Lambo & Yung,2024-05-18,100,0,0,16.78
El matador,Elmatadormc7,2024-05-18,99,1,0,16.28
Icon,Tony Effe,2024-05-18,100,0,0,15.5
Santa,Rvssian & Rauw Alejandro & Ayra Starr,2024-05-18,100,0,0,15.4
Illusion,Dua Lipa,2024-05-18,10,90,0,15.05
The code,Nemo,2024-05-18,94,0,6,15.05
I miss u,Capo Plaza feat. Tony Boy,2024-05-18,100,0,0,14.88
Discoteche abbandonate,Max Pezzali,2024-05-18,4,93,3,14.16
Memories,Capo Plaza feat. Annalisa,2024-05-18,100,0,0,13.96
Paradiso,La Rappresentante Di Lista,2024-05-18,0,100,0,13.9
All night long,Kungs & David Guetta feat. Izzy Bizu,2024-05-18,0,100,0,13.68
Pillole,"Tony Effe &, Sfera Ebbasta & Geolier",2024-05-18,100,0,0,13.58
Espresso,Sabrina Carpenter,2024-05-18,70,28,2,13.5
Buscando money,Twenty Six & Tayson Kryss,2024-05-18,45,55,0,13.44
Puntofermo,Tiromancino,2024-05-18,0,100,0,13.37
Bon ton,Drillionaire & Lazza & Blanco feat. Sfera Ebbasta & Michelangelo,2024-05-18,100,0,0,13.29
Human,Lenny Kravitz,2024-05-18,0,100,0,13.25
Everyday,Takagi e Ketra feat. Shiva & Anna & Geolier,2024-05-18,100,0,0,13.14
Addicted,Zerb & Chainsmokers feat. Ink,2024-05-18,0,98,2,13.06
Personale,Mahmood & Geolier,2024-05-18,100,0,0,13.03
Due altalene,Mr. Rain,2024-05-18,76,24,0,13.0
Mammamì,Petit,2024-05-18,71,26,3,12.99
Miez a via,Baby Gang feat. Geolier,2024-05-18,100,0,0,12.74
Pedro,Jaxomy & Agatino Romero & Raffaella Carrà,2024-05-18,83,9,8,12.48
Pazza,Loredana Bertè,2024-05-18,63,37,0,12.29
Vetri neri,Ava & Anna & Capo Plaza,2024-05-18,100,0,0,12.18
Rossofuoco,Mida,2024-05-18,100,0,0,12.03
Tutto qui,Gazzelle,2024-05-18,99,1,0,11.88
Too sweet,Hozier,2024-05-18,61,39,0,11.81
Oh amore,Capo Plaza,2024-05-18,100,0,0,11.73
Diamanti grezzi,Clara,2024-05-18,100,0,0,11.58
Tango,Tananai,2024-05-18,100,0,0,11.32
Ci pensiamo domani,Angelina Mango,2024-05-18,100,0,0,11.28
Baby girl,Capo Plaza,2024-05-18,100,0,0,10.91
Que pasa,Mida,2024-05-18,98,0,2,10.8
Lovers in a past life,Calvin Harris & Rag'N'Bone Man,2024-05-18,0,100,0,10.62
Onda alta,Dargen D'Amico,2024-05-18,100,0,0,10.52
Una Vespa in 2,Orietta Berti feat. Fiorello,2024-05-18,0,97,3,10.36
La ca$$A,Capo Plaza feat. Artie 5Ive,2024-05-18,100,0,0,10.15
Honey,Tony Effe & Lazza & Capo Plaza,2024-05-18,100,0,0,9.9
Mi riempi di chiamate,Capo Plaza,2024-05-18,100,0,0,9.62
Kite,Benjamin Ingrosso,2024-05-18,0,100,0,9.62
I don't wanna wait,David Guetta & Onerepublic,2024-05-18,48,52,0,9.5
Scusi maestra,Articolo 31 feat. Tedua,2024-05-18,100,0,0,9.49
Calcolatrici,Sfera Ebbasta feat. Geolier & Simba La Rue & Baby Gang,2024-05-18,100,0,0,9.43
Bellissimissima,Alfa,2024-05-18,100,0,0,9.41
15 Piani,Sfera Ebbasta feat. Marracash,2024-05-18,100,0,0,9.38
Not like us,Kendrick Lamar,2024-05-18,100,0,0,9.31
Di' una parola,Antonello Venditti,2024-05-18,20,69,12,9.25
In Italia 2024,Fabri Fibra feat. Emma & Baby Gang,2024-05-18,100,0,0,9.02
Mariposa,Fiorella Mannoia,2024-05-18,52,48,0,8.99
Che t'o dico a fa',Angelina Mango,2024-05-18,98,0,2,8.99
Beat of your heart,Purple Disco Machine & Asdis,2024-05-18,0,96,4,8.96
I had some help,Post Malone feat. Morgan Wallen,2024-05-18,52,46,2,8.91
King of the jungle,Club Dogo,2024-05-18,0,97,3,8.89
Honey boy,Purple Disco Machine & Benjamin Ingrosso feat. Nile Rodgers & Shenseea,2024-05-18,0,100,0,8.87
No angels,Justin Timberlake,2024-05-18,0,100,0,8.84
Fino a qui,Alessandra Amoroso,2024-05-18,50,50,0,8.81
Lilith,Kid Yugi,2024-05-18,100,0,0,8.62
Plata o Plomo,Kalionte & Frezza,2024-05-18,100,0,0,8.57
Ancora,Rhove,2024-05-18,100,0,0,8.5
Fogliemorte,Neffa feat. Fabri Fibra,2024-05-18,0,100,0,8.48
Fragili,Il Tre,2024-05-18,100,0,0,8.43
Italodisco,Kolors,2024-05-18,97,0,3,8.42
64 barre da censura (Red Bull 64 bars),Kid Yugi,2024-05-18,100,0,0,8.42
Capolavoro,Il Volo,2024-05-18,63,31,6,8.2
Paradiso artificiale,Tedua feat. Baby Gang & Kid Yugi,2024-05-18,100,0,0,7.8
Petit fou fou,Rhove & Anna,2024-05-18,100,0,0,7.78
No drama,Capo Plaza feat. Mahmood,2024-05-18,100,0,0,7.65
Busy,Capo Plaza,2024-05-18,100,0,0,7.51
Il male che mi fai,Geolier feat. Marracash,2024-05-18,100,0,0,7.43
Lasciati pensare,Biagio Antonacci,2024-05-18,0,100,0,7.39
End of beginning,Djo,2024-05-18,75,25,0,7.35
Mwaki,Zerb & Sofiya Nzau,2024-05-18,77,23,0,7.29
Moneylove,Massimo Pericolo feat. Emis Killa,2024-05-18,100,0,0,7.25
Come vuoi,Geolier,2024-05-18,100,0,0,7.2
Love on,Selena Gomez,2024-05-18,0,100,0,7.18
Taxi sulla luna,Tony Effe & Emma & Takagi e Ketra,2024-05-18,100,0,0,7.11
Shadows of the night [gigi dag mix],Gigi D'Agostino & Boostedkids,2024-05-18,0,94,6,7.11
Assistente sociale,Baby Gang & Higashi feat. Simba La Rue,2024-05-18,100,0,0,7.09
Europapa,Joost,2024-05-18,100,0,0,7.04
Tornerai,Petit,2024-05-18,89,8,3,7.02
Belong together,Mark Ambor,2024-05-18,94,2,4,6.84
Rubami la notte,Pinguini Tattici Nucleari,2024-05-18,100,0,0,6.82
Gli altri (Giorni stupidi),Marracash,2024-05-18,100,0,0,6.8
La fine del mondo,Mr.Rain & Sangiovanni,2024-05-18,100,0,0,6.78
"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,2024-05-18,100,0,0,6.76
Million Dollar Baby,Tommy Richman,2024-05-18,100,0,0,6.73
La musica non c'è,Coez,2024-05-18,100,0,0,6.66
Fantasmi,Rose Villain feat. Geolier,2024-05-18,100,0,0,6.63
Nightmares,Bresh & Pinguini Tattici Nucleari,2024-05-18,100,0,0,6.57
Hoe,Tedua feat. Sfera Ebbasta,2024-05-18,100,0,0,6.57
Tutto fuori controllo,Mace  Kid Yugi & Izi & Franco126,2024-05-18,100,0,0,6.46
Shut up and dance,Sophie And The Giants,2024-05-18,0,100,0,6.42
Cento occhi,Bigmama,2024-05-18,0,100,0,6.28
Chiagne,Geolier feat. Lazza & Takagi & Ketra,2024-05-18,100,0,0,6.24
Baby mama,Don Pero,2024-05-18,100,0,0,6.2
Destri,Gazzelle,2024-05-18,100,0,0,6.13
Praise the lord,Mace & Tony Boy & Guè & Noyz Narcos,2024-05-18,96,4,0,6.13
Tutta la night,Capo Plaza,2024-05-18,100,0,0,6.12
Sexy magica,Sarah Toscano,2024-05-18,61,34,5,6.1
Standing next to you,Jung Kook,2024-05-18,0,100,0,6.1
Ex angelo,Kid Yugi & Sfera Ebbasta & Shablo,2024-05-18,100,0,0,6.05
Leanin',Tony Boy,2024-05-18,100,0,0,6.05
M' manc,Shablo & Geolier & Sfera Ebbasta,2024-05-18,100,0,0,5.99
Tutta un'altra storia,Boomdabash,2024-05-18,0,100,0,5.94
Mon amour,Annalisa,2024-05-18,100,0,0,5.91
Maliciosa,Elmatadormc7,2024-05-18,100,0,0,5.85
Bloods & crips,Baby Gang & Higashi,2024-05-18,100,0,0,5.78
Brivido,Guè Pequeno feat. Marracash,2024-05-18,100,0,0,5.6
No ex,Niky Savage & Blssd feat. Paky,2024-05-18,100,0,0,5.53
Io voglio te,Gianna Nannini,2024-05-18,0,100,0,5.53
Nu dispietto,Gigi D'Alessio,2024-05-18,0,100,0,5.51
Mon amour [meya rework],Slimane,2024-05-18,91,0,9,5.47
Non c'è love,Capo Plaza,2024-05-18,100,0,0,5.46
Visiera a becco,Sfera Ebbasta,2024-05-18,100,0,0,5.44
Pastello bianco,Pinguini Tattici Nucleari,2024-05-18,96,0,4,5.43
Parafulmini,Ernia feat. Bresh & Fabri Fibra,2024-05-18,100,0,0,5.41
Insta lova,Marracash & Guè Pequeno,2024-05-18,100,0,0,5.28
Carrara,Tony Effe & Simba La Rue,2024-05-18,100,0,0,5.28
Guasto d'amore,Bresh & Shune,2024-05-18,100,0,0,5.27
Giovani Wannabe,Pinguini Tattici Nucleari,2024-05-18,100,0,0,5.17
Un briciolo di allegria,Blanco & Mina,2024-05-18,100,0,0,5.17
Greedy,Tate Mcrae,2024-05-18,65,35,0,5.16
Denaro,Kid Yugi & Simba La Rue,2024-05-18,100,0,0,5.14
Gelosa,Finesse feat. Shiva & Sfera Ebbasta & Guè Pequeno,2024-05-18,100,0,0,5.14
Cadillac,Boro & Artie 5Ive & Andry The Hitmaker,2024-05-18,100,0,0,5.1
Rim tim tagi dim,Baby Lasagna,2024-05-18,94,0,6,5.09
Due vite,Marco Mengoni,2024-05-18,94,0,6,5.07
Ridere,Pinguini Tattici Nucleari,2024-05-18,100,0,0,4.99
Moon,Ava feat. Capo Plaza & Tony Boy,2024-05-18,100,0,0,4.99
Fragole,Achille Lauro & Rose Villain,2024-05-18,100,0,0,4.97
Molotov,Lazza,2024-05-18,100,0,0,4.95
Fe!N,Travis Scott feat. Playboi Carti,2024-05-18,100,0,0,4.95
Panico,Lazza & Takagi & Ketra,2024-05-18,100,0,0,4.94
Come un tuono,Rose Villain feat. Guè,2024-05-25,74,24,2,100.0
100 messaggi,Lazza,2024-05-25,78,22,1,80.98
L'ultima poesia,Geolier & Ultimo,2024-05-25,89,9,2,74.35
Paprika,Ghali,2024-05-25,71,27,1,68.82
Tuta gold,Mahmood,2024-05-25,88,11,1,56.88
El pibe de oro,Geolier,2024-05-25,99,1,0,54.24
Altrove,Ultimo,2024-05-25,66,32,2,52.96
Gata only,Floyymenor & Cris Mj,2024-05-25,98,2,0,50.96
Veleno,Tananai,2024-05-25,46,53,1,50.09
Sinceramente,Annalisa,2024-05-25,87,11,2,49.36
Miu Miu,Tony Effe,2024-05-25,99,0,1,47.45
BBE,ANNA feat. Lazza,2024-05-25,98,1,1,47.01
Torcida,Bresh,2024-05-25,76,24,1,45.5
La noia,Angelina Mango,2024-05-25,87,12,1,45.25
Galassie,Irama,2024-05-25,63,27,10,44.21
Karma,Kolors,2024-05-25,19,78,3,43.63
"I p' me, tu p' te",Geolier,2024-05-25,100,0,0,41.62
Alè,Rhove & Capo Plaza,2024-05-25,54,46,0,38.81
Ma che idea,Bnkr44 & Pino D'Angiò,2024-05-25,64,35,1,38.52
Devastante,Olly & Jvli,2024-05-25,99,1,1,37.9
Dopo le 4,"Tony Effe, Bresh & Tedua",2024-05-25,100,0,0,37.07
Malavita,Coma_Cose,2024-05-25,26,71,3,36.48
Casa mia,Ghali,2024-05-25,93,6,1,36.32
Soldi arrotolati,Capo Plaza feat. Anna,2024-05-25,100,0,0,35.22
Click boom!,Rose Villain,2024-05-25,99,0,1,35.22
I like the way you kiss me,Artemas,2024-05-25,68,30,2,34.64
Beautiful things,Benson Boone,2024-05-25,74,23,4,33.31
Peyote,Articolo 31 feat. Fabri Fibra & Rocco Hunt,2024-05-25,28,70,2,32.88
Lunch,Billie Eilish,2024-05-25,60,38,1,32.8
Femme fatale,Emma,2024-05-25,28,71,2,30.7
Ancora qua,Capo Plaza feat. Tedua,2024-05-25,100,0,0,30.55
Istinto animale,Don Joe feat. Annalisa & Ernia & Guè,2024-05-25,53,47,0,28.97
Luna piena,Negramaro,2024-05-25,2,96,2,28.94
Hotline,Salmo & Noyz Narcos & Sine feat. Lazza,2024-05-25,99,0,1,27.7
Vai!,Alfa,2024-05-25,88,12,0,26.46
Addo staje [ride it napoletan remix],Le-One feat. VTR,2024-05-25,99,1,0,26.42
Apnea,Emma,2024-05-25,99,0,1,25.51
00,Artie 5ive,2024-05-25,100,0,0,25.0
Ma non tutta la vita,Ricchi e Poveri,2024-05-25,76,23,1,24.81
"Un ragazzo, una ragazza",Kolors,2024-05-25,96,3,1,24.72
Adrenalina,Baby Gang feat. Blanco & Marracash,2024-05-25,92,8,0,23.78
Puntería,Shakira & Cardi B,2024-05-25,0,98,2,23.65
Frutta malinconia,Francesco Gabbani,2024-05-25,5,94,1,22.31
Sola,Baby Gang & Higashi feat. Lazza & Tedua,2024-05-25,100,0,0,22.19
Neve al sole,Ultimo,2024-05-25,98,0,2,21.94
Money rain,Capo Plaza feat. Lazza,2024-05-25,100,0,0,21.78
Sarò con te,SLF & Geolier feat. Lele Blade & Mv Killa & Vale Lambo & Yung,2024-05-25,99,1,0,20.67
Mammamì,Petit,2024-05-25,78,19,3,19.99
Non ho bisogno di te,Noemi,2024-05-25,3,97,0,19.98
Acqua passata,Capo Plaza,2024-05-25,100,0,0,19.71
Texas hold 'em,Beyoncè,2024-05-25,18,80,2,19.15
Lonely dancers,Conan Gray,2024-05-25,0,98,2,19.06
Madame,Baby Gang & Higashi feat. Sfera Ebbasta,2024-05-25,100,0,0,18.99
